name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,source
boston,2023-11-01,7.3,3.3,5.9,4.9,-1.1,2.6,-0.7,63.0,0.0,0,0.0,,0.0,0.0,35.2,25.6,25.6,17.4,9.3,2.2,1016.5,75.5,16.0,49.6,4.3,3,10,2023-11-01T07:17:17,2023-11-01T17:37:47,0.62,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-02,8.3,1.0,4.3,7.1,-4.1,0.9,-4.6,54.0,0.0,0,0.0,,0.0,0.0,25.9,21.7,21.7,15.0,7.7,298.1,1029.0,21.9,16.0,115.5,10.0,5,10,2023-11-02T07:18:31,2023-11-02T17:36:31,0.65,Partially cloudy,Clearing in the afternoon.,obs
boston,2023-11-03,12.9,2.7,8.0,12.9,-0.3,6.0,-0.5,57.2,0.0,0,0.0,,0.0,0.0,42.4,31.3,31.3,19.7,9.0,215.3,1029.7,52.2,16.0,102.4,8.8,5,10,2023-11-03T07:19:46,2023-11-03T17:35:16,0.69,Partially cloudy,Clearing in the afternoon.,obs
boston,2023-11-04,15.0,8.3,10.8,15.0,4.6,9.4,4.3,65.8,0.0,0,0.0,,0.0,0.0,33.5,31.0,31.0,14.8,0.0,219.4,1022.0,87.8,16.0,58.3,5.1,2,10,2023-11-04T07:21:01,2023-11-04T17:34:02,0.72,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-05,15.6,8.3,11.8,15.6,5.1,11.5,3.6,57.9,0.0,0,0.0,,0.0,0.0,33.5,21.9,21.9,9.6,0.0,305.1,1016.6,76.1,16.0,75.0,6.8,4,10,2023-11-05T06:22:16,2023-11-05T16:32:50,0.75,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-06,9.4,6.6,8.3,7.7,4.2,6.0,2.2,65.9,0.0,0,0.0,,0.0,0.0,29.5,20.1,20.1,13.7,10.4,70.8,1020.5,94.3,16.0,50.8,4.5,3,10,2023-11-06T06:23:32,2023-11-06T16:31:39,0.78,Overcast,Cloudy skies throughout the day.,obs
boston,2023-11-07,18.9,9.3,13.9,18.9,7.4,13.5,8.7,72.7,2.666,100,25.0,rain,0.0,0.0,50.0,31.1,31.1,22.5,12.6,231.9,1007.1,75.5,16.0,35.5,2.9,2,10,2023-11-07T06:24:47,2023-11-07T16:30:31,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,obs
boston,2023-11-08,11.7,2.8,5.6,11.7,-1.9,1.6,-5.1,46.5,0.0,0,0.0,,0.0,0.0,51.8,33.2,33.2,24.1,16.3,310.9,1015.1,55.4,16.0,99.3,8.6,5,10,2023-11-08T06:26:02,2023-11-08T16:29:23,0.85,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-09,7.8,2.8,4.5,5.8,-0.8,2.2,1.0,79.8,2.854,100,25.0,rain,0.0,0.0,24.1,16.1,16.1,10.1,0.0,315.2,1014.2,95.0,11.6,9.7,0.8,0,10,2023-11-09T06:27:18,2023-11-09T16:28:18,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,obs
boston,2023-11-10,10.7,3.8,7.5,10.7,0.7,5.1,1.4,67.3,0.0,0,0.0,,0.0,0.0,35.3,25.5,25.5,17.1,0.2,241.7,1016.2,70.8,15.9,47.9,4.1,2,10,2023-11-10T06:28:33,2023-11-10T16:27:14,0.91,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-11,9.4,1.1,6.5,6.4,-2.2,3.2,-2.6,53.4,0.0,0,0.0,,0.0,0.0,37.1,25.5,25.5,17.8,10.9,307.3,1024.5,32.4,16.0,91.0,7.9,4,10,2023-11-11T06:29:48,2023-11-11T16:26:12,0.95,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-12,5.6,-0.8,2.1,3.6,-5.6,-1.6,-5.6,57.4,0.0,0,0.0,,0.0,0.0,25.9,20.2,20.2,13.8,9.0,326.5,1031.4,33.7,16.0,60.7,5.2,4,10,2023-11-12T06:31:04,2023-11-12T16:25:12,0.98,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-13,6.7,-2.3,2.3,5.6,-7.4,-0.8,-4.4,62.0,0.0,0,0.0,,0.0,0.0,22.3,25.3,25.3,11.7,0.0,279.7,1025.8,55.7,16.0,85.5,7.3,4,10,2023-11-13T06:32:19,2023-11-13T16:24:14,0.0,Partially cloudy,Becoming cloudy in the afternoon.,obs
boston,2023-11-14,9.4,2.1,5.2,7.2,-1.0,2.5,-0.7,66.4,0.0,0,0.0,,0.0,0.0,42.5,23.6,23.6,13.3,0.0,323.8,1023.2,65.3,16.0,75.4,6.5,4,10,2023-11-14T06:33:34,2023-11-14T16:23:17,0.05,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-15,10.0,2.0,5.8,7.2,-1.1,3.1,-0.1,66.7,0.0,0,0.0,,0.0,0.0,37.1,25.5,25.5,14.1,5.2,235.6,1027.3,53.9,16.0,92.0,8.0,4,10,2023-11-15T06:34:49,2023-11-15T16:22:23,0.08,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-16,16.8,6.6,10.7,16.8,3.4,9.2,2.7,60.2,0.0,0,0.0,,0.0,0.0,33.5,22.0,22.0,12.9,7.3,244.4,1022.0,24.3,16.0,87.1,7.4,4,10,2023-11-16T06:36:03,2023-11-16T16:21:30,0.12,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-17,18.4,4.8,12.0,18.4,2.7,11.3,8.4,79.9,0.0,0,0.0,,0.0,0.0,46.5,29.3,29.3,16.7,7.3,199.3,1015.9,71.3,14.7,81.5,7.1,4,10,2023-11-17T06:37:17,2023-11-17T16:20:40,0.15,Partially cloudy,Partly cloudy throughout the day.,obs
boston,2023-11-18,13.8,2.2,9.4,13.8,-2.0,7.3,5.7,78.9,2.106,100,16.67,rain,0.0,0.0,52.2,34.9,34.9,19.1,0.0,299.5,1006.0,65.1,15.2,23.2,1.9,2,10,2023-11-18T06:38:31,2023-11-18T16:19:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,obs
boston,2023-11-19,11.7,1.6,6.2,11.7,-2.9,3.2,-3.0,53.5,0.0,0,0.0,,0.0,0.0,41.6,27.4,27.4,18.3,11.0,274.1,1010.8,30.8,16.0,92.9,8.0,4,10,2023-11-19T06:39:45,2023-11-19T16:19:05,0.23,Partially cloudy,Becoming cloudy in the afternoon.,obs
