name,address,resolvedAddress,latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-01,16.6,3.7,10,16.6,2.9,9.8,4,67.4,0,0,0,,0,0,29.5,11.6,11.6,7.5,2.9,205,1016,28.3,16,133.2,11.5,5,10,2023-03-01T06:45:54,2023-03-01T18:07:14,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-02,20.9,11.5,16,20.9,11.5,16,5.7,55,0.646,100,20.83,rain,0,0,31.7,11.6,11.6,6.7,2.6,260.4,1007.1,15.9,16,69.1,6,3,10,2023-03-02T06:44:29,2023-03-02T18:08:14,0.34,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-03,11.8,4.3,7.2,11.8,2,5.9,2.1,71.7,14.109,100,62.5,rain,0,0,35.3,11.2,11.2,8,4.1,28.6,1009.3,70.9,10.8,14.2,1.1,1,10,2023-03-03T06:43:03,2023-03-03T18:09:15,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-04,16,4.9,10.9,16,1.9,10.3,-0.1,50.3,0.004,100,4.17,rain,0,0,61.2,16.2,16.2,9.3,1.8,281.1,1005.7,13.4,14.4,188.7,16.4,7,10,2023-03-04T06:41:37,2023-03-04T18:10:15,0.41,Rain,Clear conditions throughout the day with early morning rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-05,19.8,2,11.5,19.8,0.5,11.3,-2.4,41.7,0,0,0,,0,0,22.3,9.4,9.4,5.7,2,292.7,1021,0,16,189.8,16.5,7,10,2023-03-05T06:40:11,2023-03-05T18:11:15,0.44,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-06,17.8,2.1,10.3,17.8,2.1,10.1,-1.2,46.3,0,0,0,,0,0,27.7,8.8,8.8,6.1,3.4,64.3,1019.1,0,16,177.3,15.3,7,10,2023-03-06T06:38:44,2023-03-06T18:12:15,0.47,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-07,15.3,6.2,10.1,15.3,3.6,9.3,-3.5,42.9,0,0,0,,0,0,53.4,12.8,12.8,8.7,3.4,354.2,1013.6,24.3,16,203.1,17.5,7,10,2023-03-07T06:37:16,2023-03-07T18:13:14,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-08,13.7,1.5,7.5,13.7,-0.7,6.5,-7.9,33.2,0,0,0,,0,0,42.9,10.3,10.3,7.2,4.5,344.4,1024,0,16,193.2,16.7,6,10,2023-03-08T06:35:48,2023-03-08T18:14:13,0.54,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-09,16.4,1.3,9.1,16.4,1.3,8.9,-4.3,40,0,0,0,,0,0,13,8.7,8.7,4.9,0.9,17.3,1022.8,0,16,194.2,16.8,7,10,2023-03-09T06:34:19,2023-03-09T18:15:12,0.58,Clear,Clear conditions throughout the day.,clear-day
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-10,9.5,5.5,6.9,8.2,4.2,5.9,0.5,65.4,1.717,100,20.83,rain,0,0,37.1,9.1,9.1,6.3,2.3,330.9,1012.4,66.3,14,28.9,2.5,1,10,2023-03-10T06:32:50,2023-03-10T18:16:11,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
charlottesville,charlottesville,"Charlottesville, VA, United States",38.032,-78.478,2023-03-11,8.7,2.1,6.3,7.6,2,4.9,-5.3,43.6,0,0,0,,0,0,41.4,10.5,10.5,7.4,3.6,329.8,1012.1,60.1,16,149.5,12.8,7,10,2023-03-11T06:31:20,2023-03-11T18:17:09,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
